term,new_term,file
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/editar-stream/configure-main-settings.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/editar-stream/adicionar-payload.mdx"
"domains","workloads","/app/src/content/docs/pt-br/pages/observe-jornada/data-stream/configuracoes-avancadas/configure-sampling.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/network-layer-protection/blacklists-ip-addresses-edge/create-blocklists.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/data-streaming/debug-functions-dts.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/data-streaming/associate-domains.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-functions/edge-functions-firewall.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/create-button/create-button.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/getting-to-know-azion-console/getting-to-know-azion-console.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-firewall/update-edge-firewall.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-dns/run-dig-command.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/scheduled-blocking.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/limit-payload.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/how-to-massive-redirection.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/request-data-into-header.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/bot-manager-lite.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/waiting-room.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/add-request-id.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/ipqs.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/rate-limiting-with-penalty.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/method-route-validator.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/send-event-endpoint.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/hcaptcha.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/radware-bot-manager.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/recaptcha.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/jwt.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/ab-testing-marketplace.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/cardstream.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/integrations/secure-token.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/edge-function-github-autopeploy.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/mongodb-template.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/react-boilerplate.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/nextjs-static-boilerplate.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/hello-world.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/bot-with-tor.mdx"
